ID,Tittel,Pris,Billettstatus,Dato,Order,Klokkeslett,URL,BildeURL,Kategorier,Google Product Category,Dynamisk retargeting,Kategori,event_count_in_category,ad_set_status
46585,Dora Thorhallsdottir,510,in stock,30. januar 2027,40,30. januar 2027,https://www.drammensteater.no/program/46585-dora-thorhallsdottir/,https://cdn.tixly.com/no/tix/EventImages/Feature_46585.jpg,"['Komedie','Standup','Lattermilde']",499969,yes,Lattermilde,12,ACTIVE
46521,Romeo og Julie,580,in stock,31. januar 2027,41,31. januar 2027,https://www.drammensteater.no/program/46521-romeo-og-julie/,https://cdn.tixly.com/no/tix/EventImages/Feature_46521.jpg,"['Dans','Klassisk','Kulturglade']",499969,yes,Dans,5,ACTIVE
46521,Romeo og Julie,580,in stock,31. januar 2027,41,31. januar 2027,https://www.drammensteater.no/program/46521-romeo-og-julie/,https://cdn.tixly.com/no/tix/EventImages/Feature_46521.jpg,"['Dans','Klassisk','Kulturglade']",499969,yes,Klassisk,3,ACTIVE
46521,Romeo og Julie,580,in stock,31. januar 2027,41,31. januar 2027,https://www.drammensteater.no/program/46521-romeo-og-julie/,https://cdn.tixly.com/no/tix/EventImages/Feature_46521.jpg,"['Dans','Klassisk','Kulturglade']",499969,yes,Kulturglade,7,ACTIVE
45619,The Magic of Alexx Alexxander 2.0,730,in stock,6. februar 2027,42,6. februar 2027,https://www.drammensteater.no/program/45619-the-magic-of-alexx-alexxander-2-0/,https://cdn.tixly.com/no/tix/EventImages/Feature_45619.jpg,"['Magi','Familie']",499969,yes,Magi,1,PAUSED
45619,The Magic of Alexx Alexxander 2.0,730,in stock,6. februar 2027,42,6. februar 2027,https://www.drammensteater.no/program/45619-the-magic-of-alexx-alexxander-2-0/,https://cdn.tixly.com/no/tix/EventImages/Feature_45619.jpg,"['Magi','Familie']",499969,yes,Familie,6,ACTIVE
43351,Bjørnov tar det piano,620,in stock,17. februar 2027,43,17. februar 2027,https://www.drammensteater.no/program/43351-bjornov-tar-det-piano/,https://cdn.tixly.com/no/tix/EventImages/Feature_43351.jpg,"['Pop','Show']",499969,yes,Pop,6,ACTIVE
43351,Bjørnov tar det piano,620,in stock,17. februar 2027,43,17. februar 2027,https://www.drammensteater.no/program/43351-bjornov-tar-det-piano/,https://cdn.tixly.com/no/tix/EventImages/Feature_43351.jpg,"['Pop','Show']",499969,yes,Show,3,ACTIVE
48998,Finn tre feil,590,in stock,19. februar 2027,44,19. februar 2027,https://www.drammensteater.no/program/48998-finn-tre-feil/,https://cdn.tixly.com/no/tix/EventImages/Feature_48998.jpg,"['Komedie','Lattermilde']",499969,yes,Komedie,11,ACTIVE
48998,Finn tre feil,590,in stock,19. februar 2027,44,19. februar 2027,https://www.drammensteater.no/program/48998-finn-tre-feil/,https://cdn.tixly.com/no/tix/EventImages/Feature_48998.jpg,"['Komedie','Lattermilde']",499969,yes,Lattermilde,12,ACTIVE
45245,The Johnny Cash & June Carter Show,510,in stock,20. februar 2027,45,20. februar 2027,https://www.drammensteater.no/program/45245-the-johnny-cash-june-carter-show/,https://cdn.tixly.com/no/tix/EventImages/Feature_45245.jpg,"['Hyllest','Rock','legende']",499969,yes,Hyllest,4,ACTIVE
45245,The Johnny Cash & June Carter Show,510,in stock,20. februar 2027,45,20. februar 2027,https://www.drammensteater.no/program/45245-the-johnny-cash-june-carter-show/,https://cdn.tixly.com/no/tix/EventImages/Feature_45245.jpg,"['Hyllest','Rock','legende']",499969,yes,Rock,4,ACTIVE
45245,The Johnny Cash & June Carter Show,510,in stock,20. februar 2027,45,20. februar 2027,https://www.drammensteater.no/program/45245-the-johnny-cash-june-carter-show/,https://cdn.tixly.com/no/tix/EventImages/Feature_45245.jpg,"['Hyllest','Rock','legende']",499969,yes,legende,1,PAUSED
47778,FROST Musikkshow,770,in stock,21. februar 2027,46,21. februar 2027,https://www.drammensteater.no/program/47778-frost-musikkshow/,https://cdn.tixly.com/no/tix/EventImages/Feature_47778.jpg,"['Barn','Dans','Teater','Familie']",499969,yes,Barn,5,ACTIVE
47778,FROST Musikkshow,770,in stock,21. februar 2027,46,21. februar 2027,https://www.drammensteater.no/program/47778-frost-musikkshow/,https://cdn.tixly.com/no/tix/EventImages/Feature_47778.jpg,"['Barn','Dans','Teater','Familie']",499969,yes,Dans,5,ACTIVE
47778,FROST Musikkshow,770,in stock,21. februar 2027,46,21. februar 2027,https://www.drammensteater.no/program/47778-frost-musikkshow/,https://cdn.tixly.com/no/tix/EventImages/Feature_47778.jpg,"['Barn','Dans','Teater','Familie']",499969,yes,Teater,5,ACTIVE
47778,FROST Musikkshow,770,in stock,21. februar 2027,46,21. februar 2027,https://www.drammensteater.no/program/47778-frost-musikkshow/,https://cdn.tixly.com/no/tix/EventImages/Feature_47778.jpg,"['Barn','Dans','Teater','Familie']",499969,yes,Familie,6,ACTIVE
47808,Night Of Famous Musicals 2.0,810,in stock,6. mars 2027,47,6. mars 2027,https://www.drammensteater.no/program/47808-night-of-famous-musicals-2-0/,https://cdn.tixly.com/no/tix/EventImages/Feature_47808.jpg,"['Musikal','Show','Popglade']",499969,yes,Musikal,1,PAUSED
47808,Night Of Famous Musicals 2.0,810,in stock,6. mars 2027,47,6. mars 2027,https://www.drammensteater.no/program/47808-night-of-famous-musicals-2-0/,https://cdn.tixly.com/no/tix/EventImages/Feature_47808.jpg,"['Musikal','Show','Popglade']",499969,yes,Show,3,ACTIVE
47808,Night Of Famous Musicals 2.0,810,in stock,6. mars 2027,47,6. mars 2027,https://www.drammensteater.no/program/47808-night-of-famous-musicals-2-0/,https://cdn.tixly.com/no/tix/EventImages/Feature_47808.jpg,"['Musikal','Show','Popglade']",499969,yes,Popglade,4,ACTIVE
48161,Christine Koht,585,in stock,17. mars 2027,48,17. mars 2027,https://www.drammensteater.no/program/48161-christine-koht/,https://cdn.tixly.com/no/tix/EventImages/Feature_48161.jpg,"['Komedie','Standup','Kulturglade','Lattermilde']",499969,yes,Komedie,11,ACTIVE
